Internalname,Serial,EngGamename,ChiGamename,GameNum
ZOKTAI,AGB-U32J-JPN,Zoku Bokura no Taiyou - Taiyou Shounen Django (J),续我们的太阳 Zoku Bokura no Taiyou – Taiyou Shounen Django V1.1(JP)(Konami),2395
OVER THE HED,AGB-BH5E-USA,Over the Hedge (U),篱笆墙外 Over the Hedge(US)(Activision),2396
TRINGO,AGB-BTJE-USA,Tringo (U),Tringo Tringo(US)(Crave Entertainment),2397
MADAGASCAR,AGB-BGZJ-JPN,Madagascar (J),马达加斯加 Madagascar(JP)(Bandai),2398
HUBEST_VOL04,AGB-B74J-JPN,Hudson Best Collection Vol. 4 - Nazotoki Collection (J),Hudson 经典收藏4 Hudson Best Collection Vol. 4 – Nazotoki Collection(JP)(Hudson),2399
2IN1_BTL_PIN,AGB-BW6J-JPN,2 in 1 - Sonic Pinball Party & Sonic Battle (J),2合1 – 索尼克弹珠台 + 战斗索尼克 2 Games in 1 – Sonic Battle + Sonic Pinball Party(JP)(M6)(Sega),2400
2IN1_ADV_BTL,AGB-BW4J-JPN,2 in 1 - Sonic Advance & Sonic Battle (J),2合1 – 战斗索尼克 + 索尼克大冒险 2 Games in 1 – Sonic Battle + Sonic Advance(JP)(M5)(Sega),2401
CANDYLAND CH,AGB-BC4E-USA,"3 in 1 - Candy Land, Chutes and Ladders, Memory (U)",3合1 – Candy Land + Chutes and Ladders + Memory Candy Land – Chutes and Ladders – Memory(US)(Destination Software),2402
THE GAME OF,AGB-B3UE-USA,"3 in 1 - Life, Yahtzee, Payday (U)",3合1 – Life + Yahtzee + Payday Life – Yahtzee – Payday(US)(Destination Software),2403
NEGIMAGI2,AGB-BNMJ-JPN,Mahou Sensei Negima! Private Lesson 2 (J),魔法老师涅吉! 私人授课 2 Mahou Sensei Negima! – Private Lesson 2(JP)(Victor),2404
X-MEN: THE O,AGB-B3XE-USA,X-Men - The Official Game (U),X战警 – 官方游戏 X-Men III – The Official Game(US)(Activision),2405
CALCIOBIT01,AGB-BIXJ-JPN,Calciobit (J),Calciobit Calciobit(JP)(Nintendo),2406
ANIYOKO2,AGB-BAXJ-JPN,Animal Yokochou - Doki Doki Shinkyuu Shiken! no Kan (J),动物横町 – 心跳心跳升级考试之卷 Animal Yokochou – Dokidoki Shinkyu Shiken(JP)(Konami),2407
HUBEST_VOL02,AGB-B72J-JPN,Hudson Collection Vol. 2 - Lode Runner Collection (J),Hudson 最佳收藏 2 Hudson Best Collection Vol. 2 – Lode Runner Collection(JP)(Hudson),2408
ANIYOKO,AGB-BAYJ-JPN,Animal Yokochou - Doki Doki Kyushutsu Daisakusen No Maki (J),动物横町 – 心跳心跳救出大作战之卷 Animal Yokochou – Dokidoki Kyushutsu Daisakusen ! no Maki(JP)(Konami),2409
PANZOU,AGB-B3IJ-JPN,Mirakuru! Panzou - 7 Tsuno Hosh no Kaizoku (J),梦幻熊猫像 – 7 星宇宙海盗 Miracle! Banzou – 7 Tsuno Hosh no Kaizokuno(JP)(Atlus),2410
CHICKENSHOT2,AGB-B6GE-USA,Chicken Shoot 2 (U),射鸡 2 Chicken Shoot 2(US)(Destination Software),2411
BASEBALL2007,AGB-BC7E-USA,Backyard Sports Baseball 2007 (U),后院运动 – 棒球 2007? Backyard Sports – Baseball 2007(US)(Atari),2412
GARFIELD,AGB-BG9E-USA,Garfield and His Nine Lives (U),加菲猫和它的九条命 Garfield and His Nine Lives(US)(M3)(The Game Factory),2413
BB-DAMA2FIRE,AGB-BBMJ-JPN,B-Legend! Battle B-Daman Fire Spirit (J),B – 传说!战斗比达人炎魂? B-Legends! Battle B-Daman – Fire Spirit!(JP)(Atlus),2414
CINNAMOROLL3,AGB-B43J-JPN,Cinnamon Fuwafuwa Daisakusen (J),长耳狗 – 云上大作战 Cinnamon – Fuwafuwa Daisakusen(JP)(Smilesoft),2415
X-MEN: THE O,AGB-B3XP-EUR,X-Men - The Official Game (E),X战警 – 官方游戏 X-Men III – The Official Game(EU)(M4)(Activision),2416
FF4ADVANCE,AGB-BZ4P-EUR,Final Fantasy IV Advance (E),最终幻想4 Final Fantasy IV Advance(EU)(M5)(Nintendo),2417
CHICKENSHOT1,AGB-B6FE-USA,Chicken Shoot (U),射鸡 Chicken Shoot(US)(Destination Software),2418
HARDCOREPOOL,AGB-BHOP-EUR,Hardcore Pool (E),核心台球 Hardcore Pool(EU)(M4)(Neko Entertainment),2419
RACING FEVER,AGB-BRWP-EUR,Racing Fever (E),火热赛车 Racing Fever(EU)(M4)(Neko Entertainment),2420
CRA&SPYSPACK,AGB-B53E-USA,2 in 1 - Crash Bandicoot Purple - Ripto's Rampage & Spyro Orange - The Cortex Conspiracy (U),游戏2合1 – 古惑狼与斯派洛 2 Games in 1 – Spyro Orange – The Cortex Conspiracy + Crash Bandicoot Purple – Ripto's Rampage(US)(Vivendi),2421
ULTSPIDERMAN,AGB-BULP-EUR,Ultimate Spider-Man (E),终极蜘蛛人 Ultimate Spider-Man(EU)(Activision),2422
DIS PIX CARS,AGB-BCAE-USA,Cars (U),汽车总动员 Cars(US)(THQ),2423
BABAR_TTR,AGB-BBVE-USA,Babar - To the Rescue (U),贝巴 – 救援 Babar To The Rescue(US)(M3)(The Game Factory),2424
TH SK8LAND,AGB-BH9P-EUR,Tony Hawk's American Sk8land (E),托尼霍克美式滑板 Tony Hawk's American Sk8land(EU)(Activision),2425
DRAGONBALLAA,AGB-BDVE-USA,Dragon Ball - Advanced Adventure (U),龙珠大冒险 Dragon Ball – Advanced Adventure(US)(Infogrames),2426
MEGAMAN6_GXX,AGB-BR5E-USA,MegaMan Battle Network 6 - Cybeast Gregar (U),洛克人战斗网络EXE 6 – 电脑兽格莱伽 Megaman Battle Network 6 – Cybeast Gregar(US)(Capcom),2427
MEGAMAN6_GXX,AGB-BR5P-EUR,MegaMan Battle Network 6 - Cybeast Gregar (E),洛克人战斗网络EXE 6 – 电脑兽格莱伽 Megaman Battle Network 6 – Cybeast Gregar(EU)(Capcom),2428
MEGAMAN6_FXX,AGB-BR6P-EUR,MegaMan Battle Network 6 - Cybeast Falzar (E),洛克人战斗网络EXE 6 – 电脑兽法尔扎 Megaman Battle Network 6 – Cybeast Falzar(EU)(Capcom),2429
CINDBCDE,AGB-BCDP-EUR,Cinderella - Magical Dreams (E),迪斯尼仙履奇缘-奇幻之旅 Cinderella – Magical Dreams(EU)(M5)(Ubi Soft),2430
OVERTHEHEDGE,AGB-BH5D-DEU,Ab Durch die Hecke (G),篱笆墙外 Ab Durch Die Hecke(DE)(Activision),2431
ANSTOSS,AGB-BAQP-EUR,Premier Action Soccer (E),足球经理 Premier Action(EU)(M5),2432
GARFIELD,AGB-BG9P-EUR,Garfield and his Nine Lives (E),加菲猫和它的九条命 Garfield and His Nine Lives(EU)(M6)(The Game Factory),2433
TAK_RUG_SSPO,AGB-B44P-EUR,"3 in 1 - Rugrats, SpongeBob, Tak (E)",游戏3合1 – 淘气小兵兵之我要参加宴会+超级海绵大冒险+塔克和符咒的神力 3 Games in 1 – Rugrats – I Gotta Go Party + SpongeBob SquarePants – SuperSponge + Tak and the Power of Juju(EU)(M3)(THQ),2434
PIRATESDMC,AGB-B8QE-USA,Pirates of the Caribbean - Dead Man's Chest (U),加勒比海盗2 – 亡者财宝 Pirates of the Caribbean – Dead Man's Chest(US)(M5)(Ubi Soft),2435
MEGAMAN6_FXX,AGB-BR6E-USA,MegaMan Battle Network 6 - Cybeast Falzar (U),洛克人战斗网络EXE 6 – 电脑兽法尔扎 Megaman Battle Network 6 – Cybeast Falzar(US)(Capcom),2436
YUGIOH 2IN1,AGB-BY2E-USA,2 in 1 - Yu-Gi-Oh! The Sacred Cards & Yu-Gi-Oh! Reshef Of Destrcution (U),游戏王2合1 2 Games in 1 – Yu-Gi-Oh! The Sacred Cards + Yu-Gi-Oh! Reshef of Destruction(US)(Konami),2437
P PROF 1,AGB-BPJE-USA,Pocket Professor - Kwik Notes Vol. 1 (U),口袋教授 – 克威克笔记 Vol. 1 Pocket Professor(US)(Synapse Software),2438
SRS - STREET,AGB-BCZP-EUR,SRS - Street Racing Syndicate (E),街头赛车联盟 Street Racing Syndicate(EU)(M5)(Destination Software),2439
TIERPRAXIS,AGB-BQVP-EUR,Meine Tierarztpraxis (E),我的兽医实习 Meine Tierarztpraxis(EU)(M2)(DTP),2440
PENGUINS,AGB-BM7S-ESP,Madagascar - Operacion Pinguino (S),马达加斯加 Madagascar – Operacion Pinguino(ES)(Activision),2441
BOUNDISH,AGB-BVDJ-JPN,Bit Generations - Boundish (J),几何世代 – 反弹网球 bit Generations – Boundish(JP)(Nintendo),2442
DIALHEX,AGB-BVBJ-JPN,Bit Generations - Dial Hex (J),几何世代 – 六角形针盘 bit Generations – Dial Hex(JP)(Nintendo),2443
DOTSTREAM,AGB-BVCJ-JPN,Bit Generations - Dotstream (J),几何世代 – 点点潮流 bit Generations – Dotstream(JP)(Nintendo),2444
MONSTERHOUSE,AGB-BQ7E-USA,Monster House (U),怪兽小屋 Monster House(US)(M2)(THQ),2445
OVERTHEHEDGE,AGB-BH5S-ESP,Vecinos Invasores (S),篱笆墙外 Vecinos Invasores(ES)(Activision),2446
CLITTLEJ    ,AGB-BCHJ-JPN,Chicken Little (J),四眼天鸡 Chicken Little(JP)(D3),2447
HUBEST_VOL05,AGB-B75J-JPN,Hudson Best Collection Vol. 5 - Shooting Collection (J),Hudson 经典收藏 5 Hudson Best Collection Vol. 5 – Shooting Collection(JP)(Hudson),2448
CARSAGB,AGB-BCAJ-JPN,Cars (J),汽车总动员 Cars(JP)(THQ),2449
YUGIOHGXDA,AGB-BYGP-EUR,Yu-Gi-Oh! GX - Duel Academy (E),游戏王GX – 决斗学院 Yu-Gi-Oh! GX Duel Academy(EU)(Konami),2450
SOUNDVOYAGER,AGB-BVGJ-JPN,Bit Generations - Soundvoyager (J),几何世代 – 声音航海家 bit Generations – Soundvoyager(JP)(Nintendo),2451
ORBITAL,AGB-BVEJ-JPN,Bit Generations - Orbital (J),几何世代 – 轨道牵引 bit Generations – Orbital(JP)(Nintendo),2452
DIGIDRIVE,AGB-BVHJ-JPN,Bit Generations - Digidrive (J),几何世代 – 数位驱动 bit Generations – Digidrive(JP)(Nintendo),2453
COLORIS,AGB-BVAJ-JPN,Bit Generations - Coloris (J),几何世代 – 颜色方块 bit Generations – Coloris(JP)(Nintendo),2454
THEANTBULLY,AGB-BUYE-USA,The Ant Bully (U),别惹蚂蚁 The Ant Bully(US)(M2)(Midway),2455
2IN1_ADV_CHU,AGB-BW3J-JPN,2 in 1 - Sonic Advance & Chuuchu Rocket (J),游戏2合1 – 索尼克大冒险+啾啾火箭队! 2 Games in 1 – Sonic Advance + Chu Chu Rocket!(JP)(M5)(Sega),2456
HAMSTAR3EX4,AGB-BHSJ-JPN,Hamster Monogatari 3EX 4 Special (J),仓鼠物语 3EX – 4 特别版 Hamster Monogatari 3EX 4 Special(JP)(Culture Brain),2457
SUMMONIGHSCS,AGB-AB4E-USA,Summon Night - Swordcraft Story (U),召唤之夜 – 铸剑物语 Summon Night – Swordcraft Story(US)(Atlus),2458
NEMO NEMO2,AGB-BFWP-EUR,2 in 1 - Finding Nemo & Finding Nemo - The Continuing Adventures (E),游戏2合1 – 海底总动员 + 海底总动员 – 冒险再续 2 Games in 1 – Finding Nemo + Finding Nemo – The Continuing Adventures(EU)(M5)(THQ),2459
MR.I UM,AGB-BIQJ-JPN,Mr. Incredible - Kyouteki Under Minor Toujyou (J),超人特攻队 Mr. Incredible – Kyouteki Under Minor Toujyou(JP)(Sega),2460
BARNYARD,AGB-BBYE-USA,Barnyard (U),疯狂农庄 Barnyard(US)(THQ),2461
RHYTHMTENGOK,AGB-BRIJ-JPN,Rhythm Tengoku (J),旋律天国 Rhythm Tengoku(JP)(Nintendo),2462
BB-DAMAN,AGB-BDXE-USA,Battle B-Daman (U),B-传说！战斗比达人 Battle B-Daman(US)(Atlus),2463
SCRABBLE SCR,AGB-BLAX-EUU,Scrabble Scramble (E),拼字游戏！ Scrabble Scramble(EU)(M6)(Zoo Digital),2464
BABAR_TTR,AGB-BBVP-EUR,Babar - To the Rescue (E),贝巴 – 救援 Babar to the Rescue(EU)(M4)(The Game Factory),2465
BAD APPLE,AGB-BZTE-USA,VeggieTales - LarryBoy and the Bad Apple (U),蔬菜总动员 – 拉里男孩和坏苹果 VeggieTales – LarryBoy and the Bad Apple(US)(Crave Entertainment),2466
SRTOG,AGB-AOGE-USA,Super Robot Taisen - Original Generation (U),超级机器人大战 OG Super Robot Taisen – Original Generation(US)(Atlus),2467
ROBOTS      ,AGB-BRTJ-JPN,Robots (J),机器人 Robots(JP)(Vivendi),2468
MONSTERHOUSE,AGB-BQ7X-EUU,Monster House (E),怪兽小屋 Monster House(EU)(M4)(THQ),2469
GAMEEXPLSION,AGB-BG7E-USA,Games Explosion! (U),游戏爆发! Games Explosion!(US)(THQ),2470
MADDEN 2007,AGB-B7ME-USA,Madden NFL 07 (U),疯狂橄榄球 2007 Madden NFL 07(US)(Electronic Arts),2471
BUUGTCOLLECT,AGB-BUFE-USA,2 in 1 - Dragon Ball Z - Buu's Fury & Dragon Ball GT - Transformation (U),游戏2合1 – 龙珠Z+龙珠GT 2 Games in 1 – Dragon Ball Z – Buu's Fury + Dragon Ball GT – Transformation(US)(Infogrames),2472
DIS PIX CARS,AGB-BCAD-DEU,Cars (G),汽车总动员 Cars(DE)(THQ),2473
DR. SUDOKU,AGB-BUOP-EUR,Dr. Sudoku (E),数独医生 Dr. Sudoku(EU)(Mastiff Games),2474
THEANTBULLY,AGB-BUYP-EUR,The Ant Bully (E),"别惹蚂蚁 Ant Bully, The(EU)(M5)(Midway)",2475
YUGIOHDPACK2,AGB-BYVE-USA,2 in 1 - Yu-Gi-Oh! - Destiny Board Traveler & Yu-Gi-Oh! - Dungeon Dice Monsters (E),游戏2合1 – 游戏王 – 命运之旅 + 怪兽龙门骰 2 Games in 1 – Yu-Gi-Oh! Destiny Board Traveler + Yu-Gi-Oh! Dungeon Dice Monsters(EU)(M5)(Konami),2476
DIS PIX CARS,AGB-BCAI-ITA,Cars (I),汽车总动员 Cars(IT)(THQ),2477
SWORD OF MAN,AGB-AVSP-EUR,Sword of Mana (E),新约圣剑传说 Sword of Mana(EU)(Nintendo),2478
LSW2GBA,AGB-BL7E-USA,LEGO Star Wars II - The Original Trilogy (U),乐高星球大战 LEGO Star Wars II – The Original Trilogy(US)(LucasArts),2479
LK_AND_DPIT,AGB-BLPI-ITA,2 in 1 - Disney Principesse & Il Re Leone (I),2合1游戏 – 迪斯尼公主 + 迪斯尼狮子王 2 Games in 1 – Disney Principesse + Il Re Leone(IT)(M8)(THQ),2480
LEINSTEINS,AGB-BEIE-USA,Little Einsteins (U),小爱因斯坦 Little Einsteins(US)(Ubi Soft),2481
CHEETAHGIRLS,AGB-BCQE-USA,The Cheetah Girls (U),"花豹女郎 Cheetah Girls, The(US)(Ubi Soft)",2482
LSW2GBA,AGB-BL7P-EUR,LEGO Star Wars II - The Original Trilogy (E),乐高星球大战 2 – 原创三部曲 LEGO Star Wars II – The Original Trilogy(EU)(M6)(LucasArts),2483
OPEN SEASON,AGB-BOAE-USA,Open Season (U),狩猎季节 Open Season(US)(M3)(Ubi Soft),2484
POKE DUNGEON,AGB-B24E-USA,Pokemon Mystery Dungeon - Red Rescue Team (U),口袋妖怪不可思议的迷宫 – 赤之救助队 Pokemon Mystery Dungeon – Red Rescue Team(US)(Nintendo),2485
BARNYARD,AGB-BBYX-EUU,Barnyard (E),疯狂农庄 Barnyard(EU)(M6)(THQ),2486
MYLITTLEPONY,AGB-BL6E-USA,My Little Pony Crystal Princess - The Runaway Rainbow (U),小精灵马 – 水晶公主 My Little Pony – Crystal Princess – The Runaway Rainbow(US)(THQ),2487
DANNYPHANTOM,AGB-BQYE-USA,Danny Phantom - Urban Jungle (U),幻影丹尼 – 都市丛林 Danny Phantom – Urban Jungle(US)(THQ),2488
CAPCOMINIMIX,AGB-BC6E-USA,Capcom Classics - Mini Mix (U),CAPCOM 经典小合集 Capcom Classics – Mini Mix(US)(Capcom),2489
PHILOFUTURE,AGB-BFXE-USA,Phil of the Future (U),未来的菲尔 Phil of the Future(US)(Ubi Soft),2490
DOGZ FASHION,AGB-BFEE-USA,Dogz - Fashion (U),俏皮宠物 Dogz – Fashion(US)(Ubi Soft),2491
FIFA 07,AGB-B7FE-USA,FIFA Soccer 07 (U),FIFA 07 FIFA 07(US)(M4)(Electronic Arts),2492
CATZ,AGB-AN3X-EUU,Catz (E),可爱小猫 Catz(EU)(M4)(Ubi Soft),2493
ALEX RIDER,AGB-BAWE-USA,Alex Rider - Stormbreaker (U),旋风特务 Alex Rider – Stormbreaker(US)(THQ),2494
BBASKET2007,AGB-BB7E-USA,Backyard Sports Basketball 2007 (U),后院运动 – 篮球 2007 Backyard Sports – Basketball 2007(US)(Infogrames),2495
BYF 2007,AGB-BF7E-USA,Backyard Sports Football 2007 (U),后院运动 – 橄榄球 2007? Backyard Sports – Football 2007(US)(Infogrames),2496
SWEET DREAMS,AGB-B4TE-USA,Strawberry Shortcake - Sweet Dreams (U),草莓蛋糕美梦 Strawberry Shortcake – Sweet Dreams(US)(Majesco Sales),2497
UNFABULOUS,AGB-BU4E-USA,Unfabulous (U),一本正经 Unfabulous!(US)(THQ),2498
AM DRAGON,AGB-BAPE-USA,American Dragon - Jake Long (U),美国龙 – 杰克龙 American Dragon – Jake Long – Rise of the Huntsclan!(US)(M5)(Ubi Soft),2499
BIBITINA01,AGB-BUXD-DEU,Bibi und Tina - Ferien auf dem Martinshof (G),比比小魔女和提娜 – 在牧场的三月假日 Bibi und Tina – Ferien auf dem Martinshof(DE)(Kiddinx Entertainment GmbH),2500
LITLEMERMAID,AGB-BN9E-USA,The Little Mermaid - Magic in Two Kingdoms (U),小美人鱼 Ariel – The Little Mermaid(US)(M5)(Ubi Soft),2501
FF5ADVANCE,AGB-BZ5J-JPN,Final Fantasy V Advance (J),最終幻想 5 Final Fantasy V Advance(JP)(Square Enix),2502
BB_&_DP_FRE_,AGB-BWBF-FRA,2 in 1 - Frere des Ours & Disney Princesse (F),游戏2合1 – 熊兄弟+迪斯尼公主 2 Games in 1 – Disney Princesse + Frere des Ours(FR)(M8)(THQ),2503
BRATZ ROCK A,AGB-BRRF-FRA,Bratz - Rock Angelz (F),贝兹 – 摇滚天使 Bratz – Rock Angelz(FR)(THQ),2504
,,Dog Trainer 2 (E),任天狗补充包 2 Dog Trainer 2(EU)(Datel),2505
MEIN GESTUET,AGB-BHUP-EUR,Horse and Pony - My Stud Farm (E),马场生活 Horse And Pony – My Stud Farm(EU)(M2)(DTP),2506
BB-DAMA2FIRE,AGB-BBME-USA,Battle B-Daman - Fire Spirits (U),B – 传说!战斗比达人炎魂! Battle B-Daman – Fire Spirits!(US)(Atlus),2507
SCOOBYMOVIEE,AGB-AP8S-ESP,Scooby-Doo - The Motion Picture (S),史诺比-真人照片版 Scooby-Doo(ES)(THQ),2508
PRINCESSTOWN,AGB-BQNE-USA,Disney Princess Royal Adventure (U),迪斯尼公主 – 王国冒险 Disney Princess – Royal Adventure(US)(Ubi Soft),2509
NARUTO US2,AGB-BN2E-USA,Naruto Ninja Council 2 (U),火影忍者 – 大结集 2 Naruto – Ninja Council 2(US)(Tomy),2510
HAMMYGOSNUTS,AGB-BH7E-USA,Over the Hedge - Hammy Goes Nuts (U),篱笆墙外 Over the Hedge – Hammy Goes Nuts!(US)(Activision),2511
FAMILY FEUD,AGB-B2FE-USA,Family Feud (U),家庭斗争 Family Feud(US)(Take 2),2512
AVATAR,AGB-BQZE-USA,Avatar - The Last Airbender (U),降世神通 Avatar – The Last Airbender(US)(THQ),2513
UNOUNOSKIPBO,AGB-BUQE-USA,2 in 1 - Uno & Skip-Bo (U),2合1 – 纸牌 2 Games in 1 – Uno + Skip-Bo(US)(Destination Software),2514
ROCKEMSOCKEM,AGB-BR7E-USA,Rock 'Em Sock 'Em Robots (U),格斗机器人 Rock'em Sock'em Robots(US)(Destination Software),2515
SANTACLAUSE3,AGB-B33E-USA,The Santa Clause 3 - The Escape Clause (U),"圣诞老人 3 – 出逃的圣诞老人 Santa Clause 3, The – The Escape Clause(US)(Ubi Soft)",2516
MONSTERTRUCK,AGB-BYME-USA,Monster Trucks Mayhem (U),火爆怪兽卡车 Monster Trucks Mayhem(US)(Destination Software),2517
HARLEMTROTER,AGB-BHNE-USA,Harlem Globetrotters - World Tour (U),"哈林世界巡回篮球 Harlem Globetrotters Original, The(US)(Destination Software)",2518
KERPLUNKTATI,AGB-BXCE-USA,3 in 1 - Ker Plunk! & Toss Across & Tip It (U),"3合1小游戏 Ker Plunk!, Toss Across, Tip It(US)(Destination Software)",2519
ATV THUNDER,AGB-B3BE-USA,ATV - Thunder Ridge Riders (U),ATV闪电骑士 ATV Thunder Ridge Riders(US)(Destination Software),2520
BARBIE12PRCS,AGB-BB3E-USA,Barbie - 12 Dancing Princesses (U),芭比 – 12 舞蹈公主 Barbie in the 12 Dancing Princesses(US)(Activision),2521
MATCHBOXMISS,AGB-BB4E-USA,2 in 1 - Matchbox Missions (U),"2合1 – Matchbox任务 2 Games in 1 – Matchbox Emergency Response + Matchbox Air, Land & Sea Rescue(US)(Destination Software)",2522
PNATASHASSAP,AGB-BNPE-USA,Princess Natasha - Student Secret Agent (U),Natasha 公主 Princess Natasha(US)(Destination Software),2523
BRATZDIAMOND,AGB-BXFE-USA,Bratz - Forever Diamondz (U),贝兹娃娃 – 永久的钻石 Bratz – Forever Diamondz(US)(THQ),2524
DORA WORLD A,AGB-BXPE-USA,Dora the Explorer - Dora's World Adventure (U),Dora的环球冒险! Dora the Explorer – Dora's World Adventure!(US)(Take 2),2525
TMNT GBA 1+2,AGB-BT8E-USA,Teenage Mutant Ninja Turtles - Double Pack (U),2合1 – 忍者神龟 + 忍者神龟 2 2 Games in 1 – Teenage Mutant Ninja Turtles + Teenage Mutant Ninja Turtles 2 – Battle Nexus(US)(M5)(Konami),2526
JLH: FLASH,AGB-BJHE-USA,Justice League Heroes - The Flash (U),正义联盟英雄 – 闪光 Justice League Heroes – The Flash(US)(WayForward),2527
NODDYTOYLAND,AGB-BNKE-USA,Noddy - A day in Toyland (U),诺迪在玩具世界的一天 Noddy – A Day in Toyland(US)(M3)(The Game Factory),2528
BARBIE DM,AGB-BBIE-USA,The Barbie Diaries - High School Mystery (U),"芭比日记 – 高校神秘 Barbie Diaries, The – High School Mystery(US)(Activision)",2529
TLOS:ANB,AGB-B3YE-USA,The Legend of Spyro - A New Beginning (U),"斯派罗传说 – 新的开始 Legend of Spyro, The – A New Beginning(US)(Vivendi)",2530
SWORDCRAFT2,AGB-BSKE-USA,Summon Night - Swordcraft Story 2 (U),召唤之夜 – 铸剑物语 2 Summon Night – Swordcraft Story 2(US)(Atlus),2531
SHREK SHARK,AGB-BS7E-USA,2 in 1 - Shark Tale & Shrek 2 (U),2合1 – 鲨鱼黑帮 + 史莱克 2 2 Games in 1 – Shrek 2 + Shark Tale(US)(Activision),2532
SPONGEBOBCKK,AGB-BQ4E-USA,SpongeBob Squarepants - Creature from the Krusty Krab (U),海棉宝宝 – 来自Krusty Krab的生物 SpongeBob SquarePants – Creature from the Krusty Krab(US)(THQ),2533
OVERTHEHEDGE,AGB-BH5I-ITA,La Gang del Bosco (I),"篱笆墙外 Gang del bosco, La(IT)(Activision)",2534
THEMUMMY,AGB-AUME-USA,The Mummy (U),"木乃伊归来 Mummy, The(US)(M5)(Ubi Soft)",2535
MOUSE TRAP,AGB-B3OE-USA,3 in 1 - Mousetrap & Simon & Operation (U),游戏三合一 Mouse Trap – Simon – Operation(US)(Destination Software),2536
HOTSTCHOTWR,AGB-BQJE-USA,2 in 1 - Hot Wheels Stunt Track Challenge & Hot Wheels World Race (U),游戏2合1 – 无敌风火轮赛车 – 疾速赛车X + 世界赛车 2 Games in 1 – Hot Wheels – Stunt Track Challenge + Hot Wheels – World Race(US)(Destination Software),2537
FLUSHED AWAY,AGB-BLHE-USA,Flushed Away (U),鼠国大冒险 Flushed Away(US)(D3),2538
BESTFRIENDS,AGB-BHBP-EUR,Dogs & Cats - Best Friends (E),猫狗好朋友 Hunde & Katzen Best Friends(EU)(M2)(DTP),2539
HAMMYGOSNUTS,AGB-BH7P-EUR,Over the Hedge - Hammy Goes Nuts (E),篱笆墙外 Over the Hedge – Hammy Goes Nuts!(EU)(M6)(Activision),2540
GTRACERS,AGB-BJAP-EUR,GT Racers (E),GT赛车手 GT Racers(EU)(M5)(Liquid Games),2541
SNOOD2ONVAC,AGB-B2VE-USA,Snood 2 - Snoods On Vacation (U),史奴德 2 – 假期 Snood 2 – Snoods on Vacation(US)(Destination Software),2542
UNO 52,AGB-BU5E-USA,Uno 52 (U),扑克 52张 Uno 52(US)(Destination Software),2543
SCURGEHIVE,AGB-BHVP-EUR,Scurge Hive (E),蜂巢 Scurge Hive(EU)(M5)(Orbital Media Inc.),2544
TLOS:ANB,AGB-B3YP-EUR,The Legend Of Spyro - A New Beginning (E),"斯派罗传奇 – 新的开端 Legend of Spyro, The – A New Beginning(EU)(M6)(Vivendi)",2545
BRATZDIAMOND,AGB-BXFD-DEU,Bratz - Forever Diamondz (G),洋娃娃合唱团 – 永恒之钻 Bratz – Forever Diamondz(DE)(THQ),2546
TEEN TITAN 2,AGB-BZUE-USA,Teen Titans 2 - The Brotherhood's Revenge (U),少年悍将 2 – 兄弟会的复仇 Teen Titans 2 – The Brotherhood's Revenge(US)(M2)(Majesco Sales),2547
FOSTERS HOME,AGB-BFYE-USA,Foster's Home for Imaginary Friends (U),亲亲麻吉 Foster's Home for Imaginary Friends(US)(Crave Entertainment),2548
NICKTOONSBVI,AGB-BNVE-USA,Nicktoons - Battle for Volcano Island (U),尼克通 – 火山岛大战 Nicktoons – Battle for Volcano Island(US)(THQ),2549
ZACKANDCODY,AGB-BZCE-USA,The Suite Life of Zack & Cody - Tipton Caper (U),"小查 & 寇弟的顶级生活 Suite Life of Zack & Cody, The – Tipton Caper(US)(M2)(Ubi Soft)",2550
CAMP LAZLO,AGB-BLCE-USA,Camp Lazlo Leaky Lake Games (U),Camp Lazlo – 漏湖故事 Camp Lazlo – Leaky Lake Games(US)(Crave Entertainment),2551
SPIDER-MAN,AGB-BX3E-USA,2 in 1 - Spider-Man & Spider-Man 2 (U),游戏2合1 – 蜘蛛侠 + 蜘蛛侠 2 2 Games in 1 – Spider-Man + Spider-Man 2(US)(M4)(Activision),2552
3N1SPORTSPAK,AGB-B3NE-USA,3 in 1 - Majesco's Sports Pack (U),Majesco 运动3合1 3 in 1 Sports Pack – Paintball Splat! + Dodgeball – Dodge This! + Big Alley Bowling(US)(Majesco Sales),2553
MV1 ALLIANCE,AGB-B4ME-USA,Marvel - Ultimate Alliance (U),漫画英雄终极联盟 Marvel – Ultimate Alliance(US)(Activision),2554
OPEN SEASON,AGB-BOAX-EUU,Open Season (E),狩猎季节 Open Season(EU)(M9)(Ubi Soft),2555
NFS CARBON,AGB-BN7E-USA,Need for Speed Carbon - Own the City (U),极品飞车 – 卡本峡谷 Need for Speed Carbon – Own the City(US)(M5)(Electronic Arts),2556
MAJESCOS3IN1,AGB-BRQE-USA,3 in 1 - Majesco's Rec Room Challenge (U),Majesco 室内游戏3合1 Rec Room Challenge(US)(Majesco Sales),2557
REBELSTAR,AGB-BRLP-EUR,Rebelstar - Tactical Command (E),惑星指令 Rebelstar – Tactical Command(EU)(M5)(Infogrames),2558
JUKA,AGB-BJKE-USA,Juka and the Monophonic Menace (U),丘卡和单声的危机 Juka and the Monophonic Menace(US)(M3)(Orbital Media Inc.),2559
